REAL_ESTATE_ID,Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
61640,1,0.69,145000,1971,2917,J,E,A,RALEIGH,27606.0,1996,6,2
61642,1,0.37,243000,1920,3042,A,D,C,RALEIGH,27608.0,1990,12,4
61660,7,0.24,81000,1971,1200,A,C,A,RALEIGH,27609.0,1992,10,4
61681,1,0.22,105000,1938,1540,A,C,B,RALEIGH,27608.0,1991,3,1
61692,1,0.2,72000,1950,1952,A,C,C,RALEIGH,27604.0,1997,8,3
61697,4,0.33,163000,1971,2170,I,D,A,CARY,27511.0,1999,5,2
61731,1,0.31,190000,1937,2994,A,B,C,RALEIGH,27608.0,1995,3,1
61750,1,0.14,256000,1920,1850,A,D,C,RALEIGH,27608.0,1998,12,4
61758,13,0.51,295000,1979,4262,A,J,C,RALEIGH,27615.0,1995,1,1
61766,7,0.35,109000,1972,1468,G,C,A,RALEIGH,27615.0,1994,6,2
61767,13,0.46,385000,1975,3685,A,J,C,RALEIGH,27615.0,1999,6,2
61774,15,0.99,100000,1995,1427,A,C,A,GARNER,27529.0,1995,7,3
61788,1,0.25,65000,1967,1040,A,C,A,RALEIGH,27610.0,1997,7,3
61799,7,0.25,86000,1969,1600,A,B,C,RALEIGH,27609.0,1990,10,4
61801,1,1.06,230000,1958,2093,A,C,A,RALEIGH,27609.0,1998,6,2
61802,1,0.57,70000,1952,1384,A,A,A,RALEIGH,27606.0,1992,5,2
61804,7,0.38,169000,1969,2523,A,D,C,RALEIGH,27612.0,1996,6,2
61822,20,0.7,139000,1970,2901,J,E,A,APEX,27502.0,1993,10,4
61843,1,0.41,107000,2016,5547,A,F,B,RALEIGH,27609.0,1990,10,4
61844,1,0.5,142000,1963,4208,A,F,I,RALEIGH,27609.0,1997,8,3
61845,7,0.24,97000,1971,1188,A,B,A,RALEIGH,27615.0,1998,2,1
61873,16,0.48,90000,1961,1000,G,C,A,RALEIGH,27610.0,1998,9,3
61901,13,0.3,145000,1972,1988,I,D,A,RALEIGH,27609.0,1999,1,1
61903,13,0.29,147000,1972,2123,G,E,A,RALEIGH,27609.0,1999,7,3
61905,13,0.43,136000,1973,1747,I,D,A,RALEIGH,27609.0,1996,3,1
61907,13,0.42,121000,1972,1665,G,C,A,RALEIGH,27609.0,1996,1,1
61908,13,0.37,131000,1972,1899,G,C,A,RALEIGH,27609.0,1995,8,3
61913,13,0.31,131000,1972,2146,I,D,A,RALEIGH,27609.0,1997,6,2
61917,13,0.26,172500,1972,2474,A,C,A,RALEIGH,27609.0,1998,7,3
61924,13,0.3,130000,1973,1644,I,D,A,RALEIGH,27609.0,1997,6,2
61933,13,0.3,147000,1972,2643,J,E,A,RALEIGH,27609.0,1995,4,2
61934,13,0.25,127000,1972,1962,G,C,A,RALEIGH,27609.0,1994,7,3
61938,13,0.29,99500,1972,2038,K,C,A,RALEIGH,27609.0,1992,4,2
61942,13,0.25,133000,1972,1519,G,C,A,RALEIGH,27609.0,1994,6,2
61959,20,3.0,175000,1976,2009,A,D,A,APEX,27523.0,1995,7,3
61967,16,1.02,75500,1962,2484,A,B,A,RALEIGH,27610.0,1994,12,4
61988,1,0.61,260000,1972,3404,A,D,A,RALEIGH,27607.0,1997,9,3
61991,15,3.79,137500,1970,3360,A,E,A,RALEIGH,27603.0,1998,4,2
61993,17,2.4,61000,1970,2029,A,A,A,KNIGHTDALE,27545.0,1992,6,2
62002,16,0.39,79000,1969,1287,G,B,A,GARNER,27529.0,1996,4,2
62010,19,33.84,270000,1940,824,A,A,A,WAKE FOREST,27587.0,1993,2,1
62010,19,33.84,270000,2002,2496,L,E,A,WAKE FOREST,27587.0,1993,2,1
